,sentence,sentiment
0, .,Neutral
1,"wrote it thinking it would sound very witty but now that have seen myself that only wanted to show in despicable way, will not scratch it out on purpose When petitioners used to come for information to the table at which sat, used to grind my teeth at them, and felt intense enjoyment when succeeded in making any body unhappy.",Neutral
2,"But do you know, gentlemen, what was the chief point about my spite Why, the whole point, the real sting of it lay in the fact that continually, even in the moment of the acutest spleen, was inwardly conscious with shame that was not only not spiteful but not even an embittered man, that was simply scaring sparrows at random and amusing myself by it.",Negative
3,... ... .,Neutral
4,"For man everyday needs, it would have been quite enough to have the ordinary human consciousness, that is, half or quarter of the amount which falls to the lot of cultivated man of our unhappy nineteenth century, especially one who has the fatal ill luck to inhabit Petersburg, the most theo retical and intentional town on the whole terrestrial globe.",Negative
5,"Tell me this why does it happen that at the very, yes, at the very moments when am most capable of feeling every renement of all that is sublime and beautiful, as they used to say at one time, it would, as though of design, happen to me not only to feel but to do such ugly things, such that ... Well, in short, actions that all, perhaps, commit but which, as though pur posely, occurred to me at the very time when was most conscious that they ought not to be committed.",Positive
6,"was ashamed even now, perhaps, am ashamed got to the point of feeling sort of secret abnormal, despi cable enjoyment in returning home to my corner on some disgusting Petersburg night, acutely conscious that that day had committed loathsome action again, that what was done could never be undone, and secretly, inwardly gnaw ing, gnawing at myself for it, tearing and consuming myself till at last the bitterness turned into sort of shameful ac .",Negative
7,"have spoken of this because keep wanting to know for fact whether other people feel such enjoyment will explain the enjoyment was just from the too intense consciousness of one own degradation it was from feeling oneself that one had reached the last barrier, that it was horrible, but that it could not be otherwise that there was no escape for you that you never could become dirent man that even if time and faith were still leyou to change into something dirent you would most likely not wish to change or if you did wish to, even then you would do nothing because per haps in reality there was nothing for you to change into.",Negative
8,"should certainly have never been able to do anything from being magnanimous neither to forgive, for my assailant would perhaps have slapped me from the laws of nature, and one cannot forgive the laws of nature nor to forget, for even if it were owing to the laws of nature, it is insulting all the same.",Negative
9,"Apart from the one funda mental nastiness the luckless mouse succeeds in creating around it so many other nastinesses in the form of doubts and questions, adds to the one question so many unsettled questions that there inevitably works up around it sort of fatal brew, stinking mess, made up of its doubts, emotions, and of the contempt spat upon it by the direct men of ac tion who stand solemnly about it as judges and arbitrators, laughing at it till their healthy sides ache.",Negative
10,"Merciful Heavens but what do care for the laws of na ture and arithmetic, when, for some reason dislike those laws and the fact that twice two makes four Of course cannot break through the wall by battering my head against it if really have not the strength to knock it down, but am not going to be reconciled to it simply because it is stone wall and have not the strength.",Positive
11,"Oh, absur dity of absurdities How much better it is to understand it all, to recognise it all, all the impossibilities and the stone wall not to be reconciled to one of those impossibilities and stone walls if it disgusts you to be reconciled to it by the way of the most inevitable, logical combinations to reach the most revolting conclusions on the everlasting theme, that even for the stone wall you are yourself somehow to blame, though again it is as clear as day you are not to blame .",Negative
12,"in the least, and therefore grinding your teeth in silent im potence to sink into luxurious inertia, brooding on the fact that there is no one even for you to feel vindictive against, that you have not, and perhaps never will have, an object for your spite, that it is sleight of hand, bit of juggling, card sharper trick, that it is simply mess, no knowing what and no knowing who, but in spite of all these uncertainties and jugglings, still there is an ache in you, and the more you do not know, the worse the ache.",Negative
13,"And of course he knows himself that he is doing himself no sort of good with his moans he knows better than anyone that he is only lacerat ing and harassing himself and others for nothing he knows that even the audience before whom he is making his ef forts, and his whole family, listen to him with loathing, do not put ha porth of faith in him, and inwardly understand that he might moan dirently, more simply, without trills and ourishes, and that he is only amusing himself like that from ill humour, from malignancy.",Positive
14,"... For that one could not blame even the laws of nature, though the laws of nature have continually all my life nded me more than anything.",Negative
15,"How many times it has happened to me well, for in stance, to take nce simply on purpose, for nothing and one knows oneself, of course, that one is nded at noth ing that one is putting it on, but yet one brings oneself at last to the point of being really nded.",Neutral
16,"should live at ease, should die with dignity, why, it is charming, perfect ly charming And what good round belly should have grown, what treble chin should have established, what ruby nose should have coloured for myself, so that every one would have said, looking at me Here is an asset Here is something real and solid And, say what you like, it is very agreeable to hear such remarks about oneself in this negative age.",Positive
17,.,Neutral
18,"Oh, tell me, who was it rst announced, who was it rst proclaimed, that man only does nasty things because he does not know his own interests and that if he were enlightened, if his eyes were opened to his real normal interests, man would at once cease to do nasty things, would at once become good and noble because, being enlightened and understanding his real advantage, he would see his own advantage in the good and nothing else, and we all know that not one man can, consciously, act against his own interests, consequently, so to say, through necessity, he would begin doing good Oh, the babe Oh, the pure, innocent child Why, in the rst place, when in all these thousands of years has there been time when man has acted only from his own interest What is to be done with the millions of facts that bear witness that men, CONSCIOUSLY, that is fully understanding their real interests, have lethem in the background and have rushed headlong on another path, to meet peril and danger, com pelled to this course by nobody and by nothing, but, as it were, simply disliking the beaten track, and have obstinate ly, wilfully, struck out another dicult, absurd way, seeking it almost in the darkness.",Positive
19,"... What do you think are there such cases You laugh laugh away, gentle men, but only answer me have man advantages been reckoned up with perfect certainty Are there not some which not only have not been included but cannot possibly be included under any classication You see, you gentle men have, to the best of my knowledge, taken your whole register of human advantages from the averages of statisti cal gures and politico economical formulas.",Positive
20,"So that the man who should, for instance, go openly and knowingly in opposition to all that list would to your thinking, and indeed mine, too, of course, be an ob scurantist or an absolute madman would not he But, you know, this is what is surprising why does it so happen that all these statisticians, sages and lovers of humanity, when they reckon up human advantages invariably leave out one don even take it into their reckoning in the form in which it should be taken, and the whole reckoning depends upon that.",Positive
21,"What is more, he will talk to you with excitement and passion of the true normal interests of man with irony he will upbraid the short sighted fools who do not understand their own interests, nor the true signi cance of virtue and, within quarter of an hour, without any sudden outside provocation, but simply through some thing inside him which is stronger than all his interests, he will go on quite dirent tack that is, act in direct op position to what he has just been saying about himself, in opposition to the laws of reason, in opposition to his own advantage, in fact in opposition to everything ... warn you that my friend is compound personality and therefore it is dicult to blame him as an individual.",Positive
22,"fact is, gentle men, it seems there must really exist something that is dearer to almost every man than his greatest advantages, or not to be illogical there is most advantageous advantage the very one omitted of which we spoke just now which is more important and more advantageous than all other ad vantages, for the sake of which man if necessary is ready to act in opposition to all laws that is, in opposition to rea son, honour, peace, prosperity in fact, in opposition to all those excellent and useful things if only he can attain that fundamental, most advantageous advantage which is dear er to him than all.",Positive
23,"You will say that that was in the comparatively barbarous times that these are barbarous times too, because also, comparatively speaking, pins are stuck in even now that though man has now learned to see more clearly than in barbarous ages, he is still far from having learnt to act as reason and science would dictate.",Positive
24,"at is not all then, you say, science itself will teach man though to my mind it superuous luxury that he never has really had any caprice or will of his own, and that he himself is some thing of the nature of piano key or the stop of an organ, and that there are, besides, things called the laws of nature so that everything he does is not done by his willing it, but is done of itself, by the laws of nature.",Negative
25,"All human actions will then, of course, be tabulated according to these laws, mathematical ly, like tables of logarithms up to , , and entered in an index or, better still, there would be published certain edi fying works of the nature of encyclopaedic lexicons, in which everything will be so clearly calculated and explained that there will be no more incidents or adventures in the world.",Positive
26,"... , for instance, would not be in the least sur prised if all of sudden, PROPOS of nothing, in the midst of general prosperity gentleman with an ignoble, or rather with reactionary and ironical, countenance were to arise and, putting his arms akimbo, say to us all say, gentle man, hadn we better kick over the whole show and scatter rationalism to the winds, simply to send these logarithms to the devil, and to enable us to live once more at our own sweet foolish will at again would not matter, but what is annoying is that he would be sure to nd followers such is the nature of man.",Negative
27,"And all that for the most foolish rea son, which, one would think, was hardly worth mentioning that is, that man everywhere and at all times, whoever he may be, has preferred to act as he chose and not in the least as his reason and advantage dictated.",Positive
28,.,Neutral
29,"Indeed, if there really is some day discovered formula for all our desires and caprices that is, an expla nation of what they depend upon, by what laws they arise, how they develop, what they are aiming at in one case and in another and so on, that is real mathematical formu la then, most likely, man will at once cease to feel desire, indeed, he will be certain to.",Positive
30,"And as all choice and reasoning can be really calculated because there will some day be discov ered the laws of our so called free will so, joking apart, there may one day be something like table constructed of them, so that we really shall choose in accordance with it.",Positive
31,"If, for instance, some day they calculate and prove to me that made long nose at someone because could not help making long nose at him and that had to do it in that particular way, what FREEDOM is leme, especially if am learned man and have taken my degree somewhere should be able to calculate my whole life for thirty years beforehand.",Positive
32,"What does reason know Reason only knows what it has succeeded in learning some things, perhaps, it will never learn this is poor comfort, but why not say so frankly and human nature acts as whole, with everything that is in it, con sciously or unconsciously, and, even if it goes wrong, it lives.",Negative
33,"But repeat for the hundredth time, there is one case, one only, when man may consciously, pur posely, desire what is injurious to himself, what is stupid, very stupid simply in order to have the right to desire for himself even what is very stupid and not to be bound by an obligation to desire only what is sensible.",Negative
34,"But very oen, and even most oen, choice is utterly and stubbornly opposed to reason ... and ... and ... do you know that that, too, is prtable, sometimes even praiseworthy Gentlemen, let us suppose that man is not stupid.",Negative
35,"Is it many coloured May be it is many coloured, too if one takes the dress uniforms, military and civilian, of all peo ples in all ages that alone is worth something, and if you take the undress uniforms you will never get to the end of it no historian would be equal to the job.",Negative
36,"Now ask you what can be expected of man since he is being endowed with strange qualities Show er upon him every earthly blessing, drown him in sea of happiness, so that nothing but bubbles of bliss can be seen on the surface give him economic prosperity, such that he should have nothing else to do but sleep, eat cakes and busy himself with the continuation of his species, and even then out of sheer ingratitude, sheer spite, man would play you some nasty trick.",Positive
37,"It is just his fantastic dreams, his vulgar folly that he will desire to retain, simply in order to prove to himself as though that were so neces sary that men still are men and not the keys of piano, which the laws of nature threaten to control so completely that soon one will be able to desire nothing but by the cal endar.",Positive
38,"And that is not all even if man really were nothing but piano key, even if this were proved to him by natural science and mathematics, even then he would not become reasonable, but would purposely do something perverse out of simple ingratitude, simply to gain his point.",Positive
39,"And if he does not nd means he will contrive destruction and chaos, will contrive surings of all sorts, only to gain his point He will launch curse upon the world, and as only man can curse it is his privilege, the primary distinction be tween him and other animals , may be by his curse alone he will attain his object that is, convince himself that he is man and not piano key If you say that all this, too, can be calculated and tabulated chaos and darkness and curses, so that the mere possibility of calculating it all be forehand would stop it all, and reason would reassert itself, then man would purposely go mad in order to be rid of rea .",Negative
40,"son and gain his point believe in it, answer for it, for the whole work of man really seems to consist in nothing but proving to himself every minute that he is man and not piano key It may be at the cost of his skin, it may be by can nibalism And this being so, can one help being tempted to rejoice that it has not yet come , and that desire still de pends on something we don know You will scream at me that is, if you condescend to do so that no one is touching my free will, that all they are concerned with is that my will should of itself, of its own free will, coincide with my own normal interests, with the laws of nature and arithmetic.",Positive
41,"But how do you know, not only that it is possible, but also that it is DESIRABLE to reform man in that way And what leads you to the conclusion that man inclinations NEED reforming In short, how do you know that such reformation will be benet to man And to go to the root of the matter, why are you so positively convinced that not to act against his real normal interests guaranteed by the conclusions of reason and arithmetic is certainly always ad vantageous for man and must always be law for mankind So far, you know, this is only your supposition.",Positive
42,"that however stupid the direct practical man may be, the thought sometimes will occur to him that the road almost always does lead SOMEWHERE, and that the destination it leads to is less important than the process of making it, and that the chief thing is to save the well conducted child from despising engineering, and so giving way to the fa tal idleness, which, as we all know, is the mother of all the vices.",Positive
43,"And who knows there is no saying with certainty , perhaps the only goal on earth to which mankind is striving lies in this incessant process of attaining, in other words, in life itself, and not in the thing to be attained, which must always be expressed as formula, as positive as twice two makes four, and such positiveness is not life, gentlemen, but is the beginning of death.",Negative
44,.,Neutral
